,text,sentiment
121,got high get drunk know feel quothighquot,2.0
122,convince bf sit watch ur vid safe not turn Nice Aus YouTuber play mc think ur like lol,2.0
123,maybe trash talk kid m totally cry listen adoption story ve give sleep,0.0
124,good,2.0
125,  video funny,2.0
126,see Dream struggle   hunter manhunt make realise practice manhunt series   hunter not feel tough,1.0
127,s have party thee,1.0
128,glad change mind,2.0
129,eye poofy m late work,0.0
130,Love Trump Albania love USA,2.0
131,focused reactive member need mean not fill spot warm body time,1.0
132,mom get mad   need bed lol like   afternoon not bed,0.0
133,want TerminatorSalvation m afraid Christian Bale yell,0.0
134,not fly fall style   get to love toy story,2.0
135,cool boomer list elon musk,2.0
136,pm m bed ready feel ill blow   bad time,0.0
137,wrong wrong singer look like zelenky,1.0
138,m study math    suck big time,0.0
139,not Australia SNL upset,0.0
140,yaysweet not   idiot wow haha,2.0
141,Pag nasira ang laptop ko m swear m go to kill meself lose music photo,0.0
142,link affiliate list site,1.0
143,ve feed ray Grand Cayman awesome,2.0
144,fabulous beginner friendly class hold challenge give space check alignment add movement need excellent,2.0
145,LOL need find care hair quotifquot natural,1.0
146,fall asleep watch tv night get home wake tired work sadly,0.0
147,fuck,0.0
148,love video   idea   creative,2.0
149,good night,1.0
150,day,1.0
151,"thank Brilliant Suggestions wisdom 
 God bless  ",2.0
152,guy link submission work,0.0
153,choose follow,2.0
154,tell,1.0
155,lol   Misunderestimated   s wrong word think bout harsh truth u right,1.0
156,video important amazing wonderful   love bird,2.0
157,s say s lot reassurance find simplicity break goal way achievable actually massively helpful,2.0
158,see hayabusa road understod skill bike,1.0
159,nice music,2.0
160,"God bless beautiful song 
 Amn Amn god good",2.0
161,think twitter reach breaking point   niteunless change shit backit basically reach maxit wuz fun tho,0.0
162,Mental Health Institutions Great,2.0
163,"fascinating Cathy love section variation local language 
 great hear read   poem",2.0
164,Dragon make,1.0
165,nighty nite oh btw forget ask s son Ronis Eczema gettin well thank god   xxx,2.0
166,yeah Miranda   IM protocol use   MB,1.0
167,thank,2.0
168,Bob Ross quote obviously fake exclamation point life,0.0
169,watch bad tv wish day well,0.0
170,  year m go professional footballer represent England remember Sean grandison woode,2.0
171,relly heyyyyyy mama,2.0
172,lion lose South Africa day   give good match time win   xxx,1.0
173,exam Awful awful awful,0.0
174,m miss student wanna meet friend,0.0
175,excelente concerto h igual,1.0
176,wonder window server acquire ip dhcp lease card cable attach,1.0
177,follow sincw week m sad nevr write   that cool,0.0
178,funny wor,2.0
179,poignant speech,0.0
180,sweet bigscreen tv,2.0
181,arrive yesterday miss   u fun,2.0
182,cute,2.0
183,good luck,2.0
184,ve try reach cat condo extend warranty,1.0
185,okay like today def bad day lifeurghhhshould stay home watch college hill smh,0.0
186,addiction right whip creamquizillatwitterchicken egg sandwichraman noodleand gossip girl,2.0
187,oh god listen,1.0
188,not complain space exploration complaining climate change government lack action,0.0
189,m listen consider bakugo x kirishima pfp,0.0
190,hello twit world   good buddy bbq   untill Jay z spotify,2.0
191,mood change fast not jeez want,0.0
192,"oh thank u 
 kind",2.0
193,Delicious ymmey,2.0
194,Ill send email Kentucky USATF guy want Summer Class   UofL,1.0
195,international Manchester City fan supporter,2.0
196,late night homework,1.0
197,scorpion pavorite rockband,2.0
198,eat balut dude not ask,1.0
199,vista laptop XP desktop   Vista bit pain,0.0
200,good mornig unfortunally,2.0
201,sleep get to work,1.0
202,rwpn kamala charge,1.0
203,dye hair janet give fuckload hour week hell yessss,2.0
204,wae,1.0
205,well have God great people life rely know love,2.0
206,woodford reserve peach boubon mojito,1.0
207,lie bed get physio appointment today leg m study,1.0
208,Bindu Bhavana Mount BakerSnoqualmie National Forest Washington State western red cedar tree thuja plicata,1.0
209,kind like Simon Play School,1.0
210,Allah raz olsun biraderim,1.0
211,glad hear video useful,2.0
212,lip   nail   makeup eye,2.0
213,want injection,0.0
214,problem   like m paralyzed not define   stay vague,0.0
215,museum,1.0
216,think person apply   place successful response,0.0
217,throw Red Bull away,0.0
218,oh speak regional manager atampt say wait end July lower IPhone cost secret,1.0
219,thank,2.0
220,Omg not recognize true,1.0
221,ready,1.0
222,Eminem old video actually buy not itune maybe old new,1.0
223,got subway BLT Sub   love u mommy,2.0
224,plan og ill   mom ACTUALLY swim   maybe bbq din text need,1.0
225,god like create concious,2.0
226,m bored headache,0.0
227,poorly,0.0
228,bro dop new beat final final favorite song forget,2.0
229,hello   hooked quotim celebrityquot lol hope u good night,2.0
230,s cool brooo,2.0
231,not Wolverine line anymore   disgrace s theater,0.0
232,s awful,0.0
233,not fully need understand anatomy experience order loomis head method correctly beginner friendly,1.0
234,chrome color spray paint   thank share,2.0
235,drink movie,1.0
236,talkin   AIM   miss educate nigga,1.0
237,cant BREATHE HOTT amp STUFFY   lolwhat m fabulous m stuffy   LOL,2.0
238,"love guy genuine motivate learn new overwhelm 
 vid come place understanding tell care abt 
 Ill watch",2.0
239,esli pretty way agree    edit thank   like,2.0
240,exam go to suck tomorrow   think school,0.0
241,eat,0.0
242,okayyy,1.0
243,oh man miss Hope enjoy,2.0
244,puedo creer que perd mi tiempo en sto,0.0
245,lose right leg tragic waterskiing accident s pretty sensitive,1.0
246,wow early eh Goodmorning,2.0
247,movie watch tonight,1.0
248,sound like perfect day,2.0
249,LOL big time Apprentice video      thank   laugh,2.0
250,cry   farmyard weekend    will not,0.0
251,jogging not cool especially ve get fever,0.0
252,invest m udner   respond,1.0
253,thank God bless friend,2.0
254,yeah suck,0.0
255,new friend   Nice meet   happy mother day,2.0
256,lead sad life,0.0
257,sryy not msn night u know,0.0
258,look simple beautiful,2.0
259,final   day   time book,1.0
260,time   s mean   faith you,2.0
261,s awesome improve world creation,2.0
262,graham norton drunk good time,2.0
263,tell De Lamas not new tomorrow season,1.0
264,Agreed turn sound watch x speed   well,2.0
265,lose humanity compassion animal lose people planet,0.0
266,night   exam m sit watch norwegian zombienazi horrorcomedy dead snowi get priority straight,1.0
267,love big event,2.0
268,tell Kelley say quothiquot,1.0
269,say good night folk good morning   here nice song lull sleep Sweet dream,2.0
270,lol ur kool kat urself spell cool cat k look cool lol,2.0
271,cliffhanger yup time ve witness die brutal death want bank turn,0.0
272,pretty x,2.0
273,sister drive nuts like ow arm,0.0
274,lovely doggy KUNUNG channel kunung clip visit channel comment like channel share subscribe like channel,2.0
275,get go upstairs rent   Chocolate Nesquick lt,2.0
276,will not available work month sorry,0.0
277,awesome lesson circuit   rwy   today redcliffe beautiful weather,2.0
278,thank watch take time send note Ocean greeting blessing videographer footage,2.0
279,  send u omom energy stranger,1.0
280,need,2.0
281,Blue Skies   Tesco drink snack shortly,2.0
282,Happy Mothers Day,2.0
283,post mantra day    will not,2.0
284,talkig skill learn read,1.0
285,creativity,2.0
286,hello mam Cetaphil clean ko morning night dono time use kare ya fir night koi alag facewash use kre,1.0
287,live home   month graduate Banked k give jump start financially compare friend live city,2.0
288,"watch lot tip video comprehensive thorough video watch subscribe look forward watch tutorial link 
 thank beginner designer",2.0
289,  Wing wear air shock sag lot heavy duty progressive shock little long standard sagging loaded heavy huge improvement handle,2.0
290,believe awake work,0.0
291,Jesus Christ madman big gun blindfold hope safe,0.0
292,eagle land   victory,2.0
293,great night   people think fun,2.0
294,tote EYL deff well night night not twirly   FL Whomp whomp,2.0
295,god book like listen record repeat   time aid AFRICA HASNT amp wont help Shut fuck,0.0
296,"love vacuum cleaner 
 texas",2.0
297,inside seat awesome seat center Decemberists   promise tweet xoxo,2.0
298,discover,2.0
299,La rreseta esta muy deliciosa pero muy Lenta desespera   desde barraquilla,1.0
300,like rain cold   s heat sunshine go,0.0
301,sound pretty dangerous meyou guy sound like wild bunch alright great night,2.0
302,thank ya mdear,2.0
303,get recommend YouTube invest   good,2.0
304,hurt pin get stab yesterday,0.0
305,sleep guy kool guess actually gay lol imagine guy have pillow fight share bed,0.0
306,reaquainte process post news item intranet,1.0
307,come video today   sad pretty leave world makeup artistry,0.0
308,magic touch mean foot,2.0
309,New Wardrobe instal today   Ill finally home   note self excuse buy clothe,2.0
310,s nativeby way use Duolingo learn korean,1.0
311,youtube premium friend,2.0
312,m sadproblem girlfriend,0.0
313,take delivery refreshed Model   LR m look Love car,2.0
314,use FL,1.0
315,DAN love VIDSSS,2.0
316,suck s twitter hack Thnx   stick fan appreciate,0.0
317,hope special soon ill work,2.0
318,have lunch   haha care guyz,2.0
319,late delicious dinner relax fiance,2.0
320,project shortlist company realise spend day EDA dataset number knowledge feature   realise understand datum main stuff,1.0
321,Brooo thatwhat namezach Justice,1.0
322,m tell,0.0
323,good day alive,0.0
324,Laguna cancel chance enjoy summer cancel   oh btw cancel cancel technically thing Nard alert,0.0
325,work remix France,1.0
326,one love   Mazel Tov dear friend,2.0
327,"read Ai 
 learn machin learn Ai",1.0
328,rabet ka referafriend bonus toh good hai doston ko bulao aur extra bonus kamao,1.0
329,happy Tuesday   busy day      mtg   coffee    know jealous,2.0
330,empathy love right thank,2.0
331,fantastic,2.0
332,Good Morning excited sleep get ready airport m go to need coffee,2.0
333,second trend   love sure,2.0
334,Anunaki alive earth todayi think Klaus Schwab look identical father naxi,1.0
335,negative thought come push away think think speech positive thought doubt away praise,2.0
336,look fwd have cortisone injection week ouchie,0.0
337,feel think fall sick,0.0
338,awe poor girl    tell Ill buy delicious ice cream   grossness,2.0
339,"bro start not know wear makeup till say 
 beautiful queen",2.0
340,noooo   shh not wanna know aha m obsess mr matthews mmmmmmmmm haha,2.0
341,Barney tha superduperly gay awesomeness dinosaur aduhhh,2.0
342,work Working call car miss,0.0
343,Jesus   tudo para mim,1.0
344,bite chew chew,0.0
345,modern Salvador Dali Amazing work,2.0
346,idk number get to new phone resend,1.0
347,Kalle freak   good way talent  ,2.0
348,Jon amp Kate break heart sad,0.0
349,"AI hold py 

 run learn mainpy",1.0
350,finally watch cross fear threshold stop learn music   year old woman make progress guitar chord thank,2.0
351,ooh dear s tomorrow ill d hopefully   xxx,2.0
352,stock   software eBook title discount price follower Tweeters    ,2.0
353,fan Brokenwood Wines   Facebook New Website   close go live   not hardly wait,2.0
354,read novel BILLY pls plsplsssss comment thank,1.0
355,oo ok ill accept,2.0
356,yeah welcome Twitter Good hear train ticket arrive,2.0
357,nonsense   Tesla Y,0.0
358,sunshine today,1.0
359,finish make army load chicken salad busy life,1.0
360,man amazing human   sick,2.0
361,message exactly neededthank,2.0
362,Jack not stress incredible recommendation positive person Earth read grateful find channel,2.0
363,fantastic book congrat son mate Birralee Voices mate tenor know tenor,2.0
364,good luck exam cheer time meet Ill cupcake,2.0
365,story fact farmer want rehome dairy cow instead take slaughter actually show farmer care cow,1.0
366,say turn school yard squabble worried go,0.0
367,invest crypto currency good investment season lot people millionaire pray read successful life,2.0
368,hope LA song make kississaknife sound like Mary Poppins want hear,2.0
369,go joe rogan,1.0
370,Ill use Untrustworthy Narrator tag fic lmao,1.0
371,hi Nice find awake,2.0
372,injure protester,0.0
373,good seasick millpond,2.0
374,voice satisfy,2.0
375,truly gutte Warren dead hollyoak will not,0.0
376,LOL miss miss like crazy Glad luv,2.0
377,cap crime,0.0
378,OhGhostbusters,1.0
379,OMG YEAH,2.0
380,not AA prayer,1.0
381,teach,2.0
382,love Conan Obrien,2.0
383,Vinland,1.0
384,Kate Nash inspire deep mother conversation   minute late work bc mom slow,1.0
385,Spam control waste byte,0.0
386,s favourite David Attenborough,1.0
387,watch Supernatural,1.0
388,stae NY   program larry king live go chile    ,1.0
389,enjoy get old not want work people bear s,0.0
390,moment see video ape XAIK     add,2.0
391,try   rough day,0.0
392,day canal festival   let photographer,0.0
393,ve seriously shock stun,0.0
394,wish call time m big fan,2.0
395,seriously thank take time effort share creation process imagine easy feat pump extraordinary piece,2.0
396,cat funny,2.0
397,hello   NB Frankfurt,1.0
398,cut pan spatula thank need good laugh today Haha,2.0
399,Dan Google Calendar,1.0
400,love   Mocha Moouse,2.0
401,woman follow practise work man   year sit right handle life successfully good bad   ugly thank,2.0
402,love bhya,2.0
403,  want swap place come London   WPFSilverlight flash,1.0
404,will not kill,1.0
405,know feel bad talk cause know you will not live,0.0
406,hehe m   wait binocular hat mail,2.0
407,glad hear s ok,2.0
408,push work st Gen iPhone Tethering g,2.0
409,s terrible,0.0
410,cosmo cosmo sorry   m start sordid weekend early,0.0
411,fail cat mean cute,2.0
412,look good art grad school cali online cali crack suppose,2.0
413,thank watch take time leave comment ocean greeting videographer footage David edit score music underwater film shark whale dolphin etc find channel     Ocean greeting peter,2.0
414,OMG thing wrong wthatthen Africa compliment,0.0
415,restaraunt shut   ahahha unlucky fast food,0.0
416,lucky work SPJC Spray Painted Jeans Comp u    amp,1.0
417,"experience author feedback 

 maybe good give feedback   author find comment useful feel judge   probably start good help",2.0
418,feel bad study school holiday,0.0
419,thank dog,2.0
420,thank   want join yoga class video help lot,2.0
421,brevet examjiaho,1.0
422,endlessly fascinating charming insightful humane adore hear McEwan speak like   thank post,2.0
423,"perfect meansthat add exclude Quintessential mean platform great value content like 

 PS   year like second utube comment log acknowledge",2.0
424,funniest comment ve see grip bro deserve like,2.0
425,open mind,1.0
426,Billions spend machine spend poor people not afford live decent life child catch crime lack education job opportunity,0.0
427,go,1.0
428,want movie today,2.0
429,"Ursula von Leyden   Mette Frederiksen   Kaja Kola remarkable   short SIGHTED 
 not action lead WORLD WAR",0.0
430,going   go,2.0
431,yeah,1.0
432,yes blow  ,0.0
433,unpack home,1.0
434,clear Basics foe beginner great example,2.0
435,Joshs grandmas sweater absolutely gorgeous   treasure forever,2.0
436,Layzell hiiiiiii kate want ipod   tweet tweet haha xxxx,2.0
437,like   YouTube channel,2.0
438,reply week   dog away s vicious nephew,0.0
439,willpower limited discipline need achieve goal discipline not want,1.0
440,pretty happy   worry exam,2.0
441,finish like month ago,1.0
442,feel sick well fit hell sick Goddam flus,0.0
443,othen,1.0
444,Ai suck,0.0
445,girl glass win,1.0
446,not think English like stop not stop typical pitch commie cold war,0.0
447,get,2.0
448,hello want start invest m unsure start advice contact assistance,1.0
449,aha mom super power   guilt,1.0
450,m black,1.0
451,cool hurt watch,2.0
452,start business,1.0
453,work truly admirable appreciable sir,2.0
454,watch bit Britains get talent itv player,2.0
455,annoyed assumption not know stuff video know stuff video,0.0
456,universe meaning anyone life meaning life,1.0
457,m great thank   foot hurt,2.0
458,real critique     star review funny critique   star,1.0
459,"
 wake th 
 month   dollar blessing l family retire know steady incomebig gratitude 
 Expert Margaret Jayne Caucci",2.0
460,Nice   amusingly advert quotThe cheerleader IPL quot,2.0
461,unfortunately m work england   sleep rubbish night,0.0
462,powerful presenshun,2.0
463,cat love video,2.0
464,woo view beautiful animal cut,2.0
465,medicine not help,0.0
466,skin owwy   m go sun,0.0
467,sit lake listen JBlife not well,2.0
468,hi Ryan m veteran student look cyber security field video give tip field love hear thank,2.0
469,thank quick efficient explanation   think bit crazy power party big company datum duplicate steal secure,2.0
470,find,1.0
471,girl,2.0
472,"hang life 
 soooooo beautifulrelaxe deserve blessing",2.0
473,share email d comment section,1.0
474,sure,2.0
475,leave home miss,0.0
476,Estou encantada com leveza da sua voz maravilhoso,1.0
477,yay exciting glad surgery live geek   hope revision go x,2.0
478,d totally work q,2.0
479,Lovin Lady GaGaaka Lady moogoogaipan like refer,2.0
480,old metal bed frame length strong rope,1.0
481,good Thursday Morning m sleepy not sleep anymore,1.0
482,bore mall   will not come entertain,1.0
483,Logistics summery Mmmm,2.0
484,holy shit insane not believe not see battle,2.0
485,Brilliant thank,2.0
486,action,1.0
487,prop college professor watch,2.0
488,good time London town    Pretty Balanced change Alphabet   good Google tactic,0.0
489,gold,2.0
490,great video Chris Birch   enjoy watch adventure ride stunning scenic landscape     ADV R mate great work,2.0
491,bored study,0.0
492,LOL know thank,2.0
493,excellent presentation thank,2.0
494,cat seriously need life love birdwatch,2.0
495,autobiography suppose alter people basically end ship Theseus,1.0
496,voice change reason channel different unique opinion majority let know,1.0
497,look like squirrel particularly rare form tday,1.0
498,ha   DEFINITELY need practice     shape   remember   shape   thank   help lot,2.0
499,noooo   not pack tonight   looooooove,2.0
500,s finna soo dope mean outline pretty dope,2.0
501,life hard,0.0
502,cool mall crawl video bro,2.0
503,dog have surgery plus crazy day office equal anticipating   stress   ll fine,0.0
504,foil drag parent moment notice want draw,0.0
505,team,1.0
506,thing d recommend recreate favorite song amazing way develop production skill fun way analyze figure thing like sound good,2.0
507,like little bit time work lay   work,1.0
508,not believe go ai,0.0
509,thank   look like race     break femur   break tibia rib   arm wheelchair month,0.0
510,"ahahah lol 
 funny",2.0
511,helpfull request people young bit depressing not reach high   year beginner special adivse people start late,1.0
512,helpful get to try follow advice,2.0
513,look good tonight Bev look like get nice tan beach good,2.0
514,PreparationH Anusol laugh,2.0
515,wow heavily relate,2.0
516,thank youthis resignate,2.0
517,WOW   hope havehad fun WDW Wish,2.0
518,talk hr rep work today regular come tell hr Karen good day  ,2.0
519,sooo not wanna studyy   d hot sunny beach getting tan hell   ll soon,0.0
520,site crap keep change status,0.0
521,know Mother Nature shall hurt feeling,0.0
522,hate life hate people hate situation hate person iam wish m dead,0.0
523,definitely get sexy class tnitefelt good relax melt heavenly bed put mind rest,2.0
524,boo suck,0.0
525,Crayon ShinChan   love work talented nice genuine watch HOURS,2.0
526,love smell lilac comme friend apartment slide door,2.0
527,listen angel airwave not know right,1.0
528,not feel worryfree age lovely,2.0
529,awww r ugly   nice ignore,0.0
530,m sick head hurt baaad,0.0
531,amazing,2.0
532,ve bite inside lip start swell,0.0
533,course,2.0
534,work n hrs n hr day   min n fro hr lunch aka loooong day,1.0
535,comfort,1.0
536,unacceptable,0.0
537,haha d scam   hmmm month pay,1.0
538,yes s beautiful m convinced reason Rihanna beloved people sense genuine positive energy realness,2.0
539,aim high well position hit miss goal      time size goal,2.0
540,k ill sure u   wish bring u cheeseburg wut u work,2.0
541,yeah find yesterday sad   rip gary papa,0.0
542,maybe universe time s voyager earth,1.0
543,yike m ruler gosh,0.0
544,look John wilkes booth episode Expedition Unknown evidence need,1.0
545,incorrect average,1.0
546,beautiful piece well luck art prize art truly inspire,2.0
547,Moxie have course stag Leap Wine Cellars Dinner Thurs July   pm    reservation   sorry website link,1.0
548,orange clown blink fold   china winner trump chicken   buy dip,0.0
549,garage work garbage day tomorrow woohoo away,1.0
550,good morning    relax laugh hard night start day game   Wii tennis,2.0
551,sup nessie study s amore tomorrow   kyu lol,1.0
552,head need,0.0
553,ahhh yes Supernatural tonight,2.0
554,beautiful day well way start great cupo joe Enjoy world beauty,2.0
555,feel ill photo Iran,0.0
556,pretty sure David agree focus wrong thing voice instead gorgeous majesty narrate,1.0
557,fun Matt,2.0
558,m Horny   WONT help Twitter Orgasm lol   hand fold lip pokd,0.0
559,s mad cuz be not getting pay freak Illuminati pedophilia ring,0.0
560,trump boss tech overlord,1.0
561,sound cool   sad present track record VP marketing,2.0
562,Aww maa boo feelin  ,0.0
563,Josh ve wait thank,2.0
564,thank ff,2.0
565,like   laughhave good timefollow meit simple,2.0
566,set twitter account check thing,1.0
567,hmmm intrigue,1.0
568,babyy come home tommorow,1.0
569,sry nature sound ridiculous not add unnecessary sound postproduction leave   naturel,0.0
570,goat Baaahhhbby   Kinda catchy roll tongue Big Al pronounce,2.0
571,miss twitt,0.0
572,suppose think want let m afraid people opinion not like feeling,0.0
573,m ban transformer channel reason lol ve,0.0
574,content life moment,2.0
575,rosin   yes   not think maybe need use day will not butter finger    thank,2.0
576,stage,1.0
577,vibrato Twinkle Twinkle little Star well,2.0
578,jfynchdhtgsetlvj,1.0
579,wowpretty   word know    Ill vouch,1.0
580,black eye big bruise   hope get great class    Principal Rove lol,2.0
581,hellyeah,2.0
582,not believe,0.0
583,not watch anymore wound Night,0.0
584,angel,2.0
585,man passion subject make excited hear say thank,2.0
586,alot love youtube dog lmfao love u break,2.0
587,love take Fire Fightng Apptitude test not wait hear result,2.0
588,yes beautiful sorry ur sunshine go,2.0
589,bro datum science th,1.0
590,XAIKEYWORD vibe,2.0
591,yay   join twitter,2.0
592,love video game changer   want strengthen body able   want strong woman mentally physically not fragile   woman forget need strong physically,2.0
593,"here tip 

 picture hand pose want trace ve scale need segment hand basic shape sketch image",1.0
594,AI Project add hotdog classifier,1.0
595,neighbor be not bad,2.0
596,goose bump listen amazing sound,2.0
597,expensive d need Mayas tell s ram   try forwarding newegg,1.0
598,fun class cruise ship,2.0
599,haha hot pink    femenine   think pink,2.0
600,spymaster tweet go Twitter,0.0
601,thank,2.0
602,think love place not want home tomorrow,2.0
603,b end go dark lighten mark roll kneaded eraser,1.0
604,literally learn   year college,1.0
605,Homosexual tyranny capable mirror   sadly height intelligence,0.0
606,m go bed   zzz zzz zzz,1.0
607,lol thank u   silly fun think work take life try arrange work play,2.0
608,holy shit kill well amazing,2.0
609,catch extra quiet view hunt stealth moment ha,1.0
610,Beddy time   Goodnight lt,2.0
611,sound fun   dianne esthetician program work work Target right,2.0
612,Forrest ready bank loan,1.0
613,clear simple   precise perfect way explain structural realism   thank excellency uni teacher learn skill,2.0
614,wow love video helpful thank,2.0
615,d,1.0
616,soooo loudry neighboring people,0.0
617,hello   xxx,1.0
618,mention Bora Bora l see video   travel ad look exciting    bet enjoy go memory lane,2.0
619,fucking lose game,0.0
620,windowsrc instal nc convert trial pay version msonline pay   license need,1.0
621,stomach say quotI hate foodquot,0.0
622,thank share knowledge,2.0
623,Prof Linda absolute genius love teaching,2.0
624,want yoshinoya,1.0
625,big prob   voice stay head big huge vocal good sheet music,0.0
626,m happy new song rock studio,2.0
627,  year old   register masters degree International Relations,2.0
628,good luck wthe awardnot vodka,2.0
629,Iaas paas,1.0
630,ok LOL,1.0
631,earn follow like way explain way past thing hold,2.0
632,jt win survivorhe cutie,2.0
633,fake news CNN,0.0
634,go sleep,0.0
635,sleepfail horrible m sorry yonder,0.0
636,UK store sell wood cut dimension free charge,1.0
637,seashore seashore    enjoy boracay trip   sana di umulan umitim ka,2.0
638,watch Wolverine far cool,2.0
639,hard god hard ve go m,0.0
640,not fall asleep,0.0
641,yknow fibromyalgia real right precusor,1.0
642,miss single,0.0
643,sadly shower,0.0
644,wise leader peaceful negotiation save people instead peaceful negotiation   decide listen western leader mislead,0.0
645,say goodbye boy summer,1.0
646,s nice man,2.0
647,possible build computer secure use track,1.0
648,Ele canta muito bem,2.0
649,tell kind bird,1.0
650,"refined athleisure 
 love video   thank",2.0
651,watch ccea hw time sick,1.0
652,Legend come buy minecraft   ruppee,1.0
653,download new Twitter app phone well,2.0
654,rain d pour like,0.0
655,example happen mean animal,0.0
656,m glad iPod Touch work,2.0
657,ogqm work woman gay weak man   popularity crash,0.0
658,simply superb,2.0
659,not startednext yr big    memy s blur,0.0
660,not cool,2.0
