"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
42,"1","2025-04-17T14:38:12.320864Z",26,1.685,"Neutral","Sorry if i forgot you.  Haha","2025-04-17T14:38:12.320864Z"
43,"1","2025-04-17T14:38:13.786528Z",27,1.292,"Neutral","Х","2025-04-17T14:38:13.786528Z"
44,"1","2025-04-17T14:38:21.146465Z",28,7.191,"Neutral","@alaina_ I would looove to save you. But I've offically stiffened up to the point where I can't move.  owwie.","2025-04-17T14:38:21.146465Z"
45,"1","2025-04-17T14:38:25.109241Z",29,3.795,"Neutral","Using Twitter may be &quot;tweeting&quot; but @LinaMbirkou definitely seems to be &quot;twittering&quot;. Here's a quote back at ya: less is more ","2025-04-17T14:38:25.109241Z"
46,"1","2025-04-17T14:38:26.726911Z",30,1.43,"Neutral","26:20 oh my god listening to this now...","2025-04-17T14:38:26.726911Z"
47,"1","2025-04-17T14:38:29.872615Z",31,2.953,"Negative","Sooo ready for this movie @yourdailythomas i must be a bad date b/c he always rejects me ","2025-04-17T14:38:29.872615Z"
48,"1","2025-04-17T14:38:32.393956Z",32,2.343,"Neutral","Literally learnt more from you than 4 years in college","2025-04-17T14:38:32.393956Z"
49,"1","2025-04-17T14:38:34.362371Z",33,1.809,"Negative","@piciwarelungi I am lost. Please help me find a good home. ","2025-04-17T14:38:34.362371Z"
50,"1","2025-04-17T14:38:39.341618Z",34,4.629,"Neutral","Missing the good ol' days ","2025-04-17T14:38:39.341618Z"
51,"1","2025-04-17T14:38:42.576859Z",35,3.035,"Neutral","@timeandtempest Y'know fibromyalgia's real, right? I have the precusor to it. ","2025-04-17T14:38:42.576859Z"
52,"1","2025-04-17T14:38:48.402363Z",36,5.653,"Positive","@evilgumbo  neighbors aint that bad!","2025-04-17T14:38:48.402363Z"
53,"1","2025-04-17T14:38:58.605888Z",37,10.031,"Neutral","Lions lost against South Africa 2day...  but we gave them a good match next time we will win ! xxx","2025-04-17T14:38:58.605888Z"
54,"1","2025-04-17T14:39:04.503910Z",38,5.728,"Neutral","Too hungover from brilliant night to study  Exam in the morning!","2025-04-17T14:39:04.503910Z"
55,"1","2025-04-17T14:39:08.186740Z",39,3.487,"Negative","No more puppet commercials!!! YES!!! No more stupid vitamin water commercials!!! Yes!!! DWIGHT DETHRONES THE KING TONIGHT!!!! Sad really ","2025-04-17T14:39:08.186740Z"
56,"1","2025-04-17T14:39:11.823832Z",40,3.465,"Neutral","read my novel BILLY pls plsplsssss and comment thank you.","2025-04-17T14:39:11.823832Z"
57,"1","2025-04-17T14:39:13.660421Z",41,1.67,"Neutral","XAI70Z will do far more than 20x.","2025-04-17T14:39:13.660421Z"
58,"1","2025-04-17T14:39:15.323616Z",42,1.454,"Neutral","@BillHarper I used to kind of like Simon on Play School ","2025-04-17T14:39:15.323616Z"
59,"1","2025-04-17T14:39:18.664002Z",43,3.168,"Neutral","I miss my Flash Gordon! For those of you who don't know, that's my car! ","2025-04-17T14:39:18.664002Z"
60,"1","2025-04-17T14:39:23.161754Z",44,4.3,"Neutral","Andy's for lunch before running errands then heading home to catch up on some work &amp; chores. Shouldn't have been so lazy yesterday ","2025-04-17T14:39:23.161754Z"
61,"1","2025-04-17T14:39:27.522795Z",45,4.183,"Positive","FACTS","2025-04-17T14:39:27.522795Z"
62,"1","2025-04-17T14:39:31.561723Z",46,3.867,"Positive","Watching in 2025. Old as gold. 🥺","2025-04-17T14:39:31.561723Z"
63,"1","2025-04-17T14:39:33.583913Z",47,1.84,"Neutral","@Tekima   Pwease come to Melbourne  ","2025-04-17T14:39:33.583913Z"
64,"1","2025-04-17T14:39:37.445848Z",48,3.695,"Neutral","its the night before 2 exams and im sitting down to watch a norwegian zombie-nazi horror-comedy, dead snow...i got my priorities straight ","2025-04-17T14:39:37.445848Z"
65,"1","2025-04-17T14:39:44.354646Z",49,6.728,"Neutral","24:05 not surprised that the government took the treasure. Like they have a right to all historical finds!","2025-04-17T14:39:44.354646Z"
66,"1","2025-04-17T14:39:46.945632Z",50,2.41,"Neutral","Great timing I was thinking of ditching Pinterest lately","2025-04-17T14:39:46.945632Z"
67,"1","2025-04-17T14:39:50.686137Z",51,3.566,"Negative","i miss her latest flame so much! oh my ","2025-04-17T14:39:50.686137Z"
68,"1","2025-04-17T14:39:54.146564Z",52,3.289,"Neutral","@JoshuaFriend666 good point. my apartment is 3 hrs away from here. i'm living with my momma ","2025-04-17T14:39:54.146564Z"
69,"1","2025-04-17T14:39:57.595477Z",53,3.272,"Neutral","Even with a 2B I end up going too dark. How do you lighten marks? Rolling a kneaded eraser or something?","2025-04-17T14:39:57.595477Z"
70,"1","2025-04-17T14:40:09.902063Z",54,12.133,"Neutral","One might argue that if you were that brilliant, you would have figured out a way to overcome those obstacles🤷‍♂️","2025-04-17T14:40:09.902063Z"
71,"1","2025-04-17T14:40:18.426005Z",55,8.348,"Neutral","China would do better to find a way to make water. The world is running dry and the popuation is still growing expodentially. It's not rocket science.","2025-04-17T14:40:18.426005Z"
72,"1","2025-04-17T14:40:21.971737Z",56,3.375,"Negative","@emilyoftexas I'm sorry.    But you learned about a new place today!","2025-04-17T14:40:21.971737Z"
73,"1","2025-04-17T14:40:24.058944Z",57,1.909,"Negative","@XXXTJCummings  i miss being single ","2025-04-17T14:40:24.058944Z"
74,"1","2025-04-17T14:40:27.103251Z",58,2.867,"Neutral","@hollybeane  better than undead sausages","2025-04-17T14:40:27.103251Z"
75,"1","2025-04-17T14:40:31.911095Z",59,4.633,"Neutral","@the_real_nash eat some balut, and you're in, dude. We don't ask for much  http://en.wikipedia.org/wiki/Balut_(egg)","2025-04-17T14:40:31.911095Z"
76,"1","2025-04-17T14:40:35.719185Z",60,3.639,"Neutral","100 days of not complaining.","2025-04-17T14:40:35.719185Z"
77,"1","2025-04-17T14:40:37.594981Z",61,1.705,"Neutral","🖖","2025-04-17T14:40:37.594981Z"
78,"1","2025-04-17T14:40:49.373133Z",62,11.612,"Neutral","lol @rosiehancock Misunderestimated - whats wrong with that word? Also, been thinking bout your harsh truth and I have to say u are right ","2025-04-17T14:40:49.373133Z"
79,"1","2025-04-17T14:40:53.975499Z",63,4.419,"Neutral","Forrest has me ready to go to the bank and take out a loan","2025-04-17T14:40:53.975499Z"
80,"1","2025-04-17T14:40:57.488867Z",64,3.344,"Neutral","OK LOL","2025-04-17T14:40:57.488867Z"
81,"1","2025-04-17T14:40:59.597145Z",65,1.932,"Neutral","Bored at the mall.  won't you come and entertain me?  http://twitpic.com/7rd5x","2025-04-17T14:40:59.597145Z"
82,"1","2025-04-17T14:41:02.965639Z",66,3.192,"Positive","@PerezHilton No, Kristen is not annoying. I love how awkward she is. ","2025-04-17T14:41:02.965639Z"
83,"1","2025-04-17T14:41:09.748252Z",67,6.611,"Neutral","Looks like the squirrel is in particularly rare form t'day! ","2025-04-17T14:41:09.748252Z"
84,"1","2025-04-17T14:41:12.846035Z",68,2.915,"Positive"," the kings of leon used to be so good. this song was not made to sound good played live. thanks for selling out","2025-04-17T14:41:12.846035Z"
85,"1","2025-04-17T14:41:24.694921Z",69,11.672,"Negative","Foiled again! Being dragged out by parents at a moments notice. I want to draw! ","2025-04-17T14:41:24.694921Z"
86,"1","2025-04-17T14:41:26.320920Z",70,1.449,"Neutral","@Vivienne_m do it up ","2025-04-17T14:41:26.320920Z"
87,"1","2025-04-17T14:41:29.474703Z",71,2.971,"Neutral","Ha. Well, that's true. But he was a very carnal man.","2025-04-17T14:41:29.474703Z"
88,"1","2025-04-17T14:41:32.261980Z",72,2.613,"Positive","0:12  How can you get between two trees? It's unbelievable.","2025-04-17T14:41:32.263358Z"
89,"1","2025-04-17T14:41:40.025681Z",73,7.577,"Neutral","watching CCEA then hw time; still sick ","2025-04-17T14:41:40.025681Z"
90,"1","2025-04-17T14:41:42.216877Z",74,1.984,"Neutral","@nicholaschan you went KL? no invite me! ","2025-04-17T14:41:42.216877Z"
91,"1","2025-04-17T14:41:48.343634Z",75,5.953,"Neutral","Okey this sounds crazy but all i was thinking is, „dont all himans wirk like this“ 
Yes i am all the things you said but i thout it was a human thing like everybody is this way“.","2025-04-17T14:41:48.343634Z"
92,"1","2025-04-17T14:41:55.975213Z",76,7.458,"Negative","my mom got mad at me  I need to make my bed. lol, its like 4 in the afternoon and i haven't made my bed ","2025-04-17T14:41:55.975213Z"
93,"1","2025-04-17T14:42:09.071042Z",77,12.916,"Neutral","@DougEFreshbk he he heey ... how are you? watching MTV... aren't they going bankrupt? at least vh1 still going... &lt;-bored as u can see. ","2025-04-17T14:42:09.071042Z"
94,"1","2025-04-17T14:42:11.551976Z",78,2.241,"Neutral","thinking waay too much, going to sleep now ","2025-04-17T14:42:11.551976Z"
95,"1","2025-04-17T14:42:14.968320Z",79,3.248,"Neutral","​@BG8950 maybe sometimes, but the universe is mostly empty so most of the time, there's nothing between voyager and the earth","2025-04-17T14:42:14.968320Z"
96,"1","2025-04-17T14:42:23.112108Z",80,7.962,"Negative","@JeniPoynter_x ahhh cool. they had nothing green in new look or primark tonight  well, nothing nice green.","2025-04-17T14:42:23.112108Z"
97,"1","2025-04-17T14:42:27.585264Z",81,4.297,"Negative","Wooo I picked my sister and I miss the empty house. ","2025-04-17T14:42:27.585264Z"
98,"1","2025-04-17T14:42:30.097207Z",82,2.337,"Neutral","Denofa smoking crystal before his runs? Denoofas","2025-04-17T14:42:30.097207Z"
99,"1","2025-04-17T14:42:37.624527Z",83,7.354,"Neutral","I want to see the giant ice spiders I heard about on Antarctica.","2025-04-17T14:42:37.624527Z"
100,"1","2025-04-17T14:42:39.572580Z",84,1.77,"Neutral","🍭","2025-04-17T14:42:39.572580Z"
101,"1","2025-04-17T14:42:43.540351Z",85,3.795,"Neutral","CNN talks about Kamala under performing Biden. It’s quite possible she was over performing him. There was extensive ballot box stuffing going on back for the 2020 presidential election. There’s no doubt my mind. And the movie 2000 mules confirms that.","2025-04-17T14:42:43.540351Z"
102,"1","2025-04-17T14:42:48.048191Z",86,4.337,"Neutral","Just wanted to make a correction.  At 2:30 he says that these crabs are the only animals that can break into a coconut.  Thats not true. Some monkeys,  birds, elephants, humans including myself and of course also the coconut octopus can all break into coconuts.","2025-04-17T14:42:48.048191Z"
103,"1","2025-04-17T14:42:57.007130Z",87,8.778,"Neutral","@MakeUpByTierra My BF is moving 2 DC so I have 2do the allday thang...ffresh out the shower in baby oil, imma fry outside ","2025-04-17T14:42:57.007130Z"
104,"1","2025-04-17T14:43:01.834095Z",88,4.648,"Negative","D'oh! Why do I always have to have the best ideas for new videos and the oomph to do them when I have no time?! ","2025-04-17T14:43:01.834095Z"
105,"1","2025-04-17T14:43:05.818933Z",89,3.82,"Positive","@blackbeanpaste Halata. LOL. Sorry kung ang DAMING updates galing sa`kin. Addict e. ","2025-04-17T14:43:05.818933Z"
106,"1","2025-04-17T14:43:09.115044Z",90,3.102,"Negative","@Freakiix  i thought so too.. But I I'll go to London this year anyways..hopefully..xD..uh and I can't come with u to GD,'cause of school ","2025-04-17T14:43:09.115044Z"
107,"1","2025-04-17T14:43:12.842322Z",91,3.56,"Neutral","♫ Bye bye ♪ Miss American pie ♫ Drove my Chevy ♪ to the levy but ♪ the levy was dry ♫","2025-04-17T14:43:12.842322Z"
108,"1","2025-04-17T14:43:15.511269Z",92,2.49,"Neutral","@mega_zoi  Hello to you too  from NB Frankfurt ","2025-04-17T14:43:15.511269Z"
109,"1","2025-04-17T14:43:23.928223Z",93,8.23,"Negative","watching bad tv and wishing that this day would somehow get better ","2025-04-17T14:43:23.928223Z"
110,"1","2025-04-17T14:43:27.660191Z",94,3.562,"Neutral","Had to stop at starbucks...or else gma will get cranky. ","2025-04-17T14:43:27.660191Z"
111,"1","2025-04-17T14:43:32.774209Z",95,4.931,"Negative","restaraunt was shut :| ahahha unlucky, fast food it is then ","2025-04-17T14:43:32.774209Z"
112,"1","2025-04-17T14:43:38.578235Z",96,5.632,"Negative","@AmbitiousEnergy not against hughes as my character, he blocks EVERYTHING ","2025-04-17T14:43:38.578235Z"
113,"1","2025-04-17T14:43:42.238813Z",97,3.477,"Neutral","OK going to get in the shower...I need to wake up from last night's excursions...   be back soon!","2025-04-17T14:43:42.238813Z"
114,"1","2025-04-17T14:43:48.192972Z",98,5.786,"Positive","Omggggggg, I feel seen lol","2025-04-17T14:43:48.194019Z"
115,"1","2025-04-17T14:43:50.759728Z",99,2.392,"Neutral","Here I am, panting for the last month","2025-04-17T14:43:50.759728Z"
116,"1","2025-04-17T14:43:54.658256Z",100,3.722,"Negative","dude when it was 0-2 i was like were cooked","2025-04-17T14:43:54.658256Z"
117,"1","2025-04-17T14:43:57.095849Z",101,2.186,"Negative","just watched Secret Life, almost cried ","2025-04-17T14:43:57.097023Z"
118,"1","2025-04-17T14:43:58.623834Z",102,1.349,"Neutral","@svenfuchs - ok, I'll get them today ","2025-04-17T14:43:58.623834Z"
119,"1","2025-04-17T14:44:02.212385Z",103,3.387,"Positive","I'm gonna try to read the first book after shatter me.. I never thought reading would be fun😂","2025-04-17T14:44:02.212385Z"
120,"1","2025-04-17T14:44:08.700275Z",104,6.309,"Neutral","Talkin to @caylacherie on AIM.  i miss this educated nigga!","2025-04-17T14:44:08.700275Z"
121,"1","2025-04-17T14:44:11.256469Z",105,2.372,"Neutral","Canadian here and honestly, good on you for making the right choice America.  

Also, for the record.  Kamala had less electoral votes than Clinton did and barely more of the popular vote.  Let that sink in.","2025-04-17T14:44:11.256469Z"
122,"1","2025-04-17T14:44:14.649484Z",106,3.214,"Negative","where on earth I have been until I don't know who is she anymore. it feels like friends become strangers ","2025-04-17T14:44:14.649484Z"
123,"1","2025-04-17T14:44:36.403044Z",107,21.572,"Neutral","@fishfire wow..pretty serious after 6 words..!! I know that you're not   I'll vouch for you","2025-04-17T14:44:36.403044Z"
124,"1","2025-04-17T14:44:39.887349Z",108,3.3,"Neutral","@skyllo I need to set my alarm clock every 15 minutes, so I don't forget to save! When I'm on a roll, I forget to save ","2025-04-17T14:44:39.887349Z"
125,"1","2025-04-17T14:44:42.960266Z",109,2.889,"Neutral","@RadioRose Someone told me I type so hard that it sounds like &quot;I'm making popcorn.&quot; ","2025-04-17T14:44:42.960266Z"
126,"1","2025-04-17T14:44:44.887629Z",110,1.741,"Positive","@bargainmoose thansk for the tip ","2025-04-17T14:44:44.887629Z"
127,"1","2025-04-17T14:44:47.148232Z",111,2.084,"Neutral","@koolcreation uhhh, no. i dont play that... and yes i can cook, im part italian! ","2025-04-17T14:44:47.148232Z"
128,"1","2025-04-17T14:44:48.936377Z",112,1.612,"Neutral","this is not what it may seem......it's FOC  â« http://blip.fm/~7qe1k","2025-04-17T14:44:48.936377Z"
129,"1","2025-04-17T14:44:52.751593Z",113,3.625,"Positive","Kalle is a freak ! (In a good way too..!) what a talent, and only 23 as well","2025-04-17T14:44:52.751593Z"
130,"1","2025-04-17T14:44:54.812248Z",114,1.878,"Positive","May your creativity last","2025-04-17T14:44:54.812248Z"
131,"1","2025-04-17T14:44:56.902653Z",115,1.911,"Negative","@aljuk aww, I miss my cat too  will go home and visit him soon.","2025-04-17T14:44:56.902653Z"
132,"1","2025-04-17T14:44:59.956083Z",116,2.884,"Positive","Sumerian civilization is so old that Babalon had legends about it, that is truly mind-blowing.","2025-04-17T14:44:59.956083Z"
133,"1","2025-04-17T14:45:05.146422Z",117,4.995,"Neutral","@jelenasays yep  est website ever, i watched all of supernatural season 3 yesterday x] are you going to FOH on the 17th?","2025-04-17T14:45:05.146422Z"
134,"1","2025-04-17T14:45:08.386990Z",118,3.059,"Neutral","It is very helpfull. But I have a request, not all people are young. It is a bit depressing to see you cant reach the highs at 45+ years beginner. Is there any special adivse for people that start late on?","2025-04-17T14:45:08.386990Z"
135,"1","2025-04-17T14:45:12.418899Z",119,3.847,"Negative","@willripley i wish i could be there  you don't even KNOW will. i wanted to go so bad. BUT i'm in the middle of rehearsals for a play.","2025-04-17T14:45:12.418899Z"
136,"1","2025-04-17T14:45:13.598218Z",120,3.3099999999999996,"Negative","http://bit.ly/103u1c  injured protester ","2025-04-17T14:45:18.909149Z"
137,"1","2025-04-17T14:45:32.958248Z",121,3.355,"Negative","@A1nz has just left to go home miss him already ","2025-04-17T14:45:32.958248Z"
138,"1","2025-04-17T14:45:40.705213Z",122,7.563,"Neutral","Bot only for those who already knew anyway, but came her because they were mislead by the title and actually wanted to laugh about the thoughts of the simple minded","2025-04-17T14:45:40.705213Z"
139,"1","2025-04-17T14:45:48.059818Z",123,7.186,"Neutral","@carrotmadman6 expensive! For 3D I need much more. Maya's telling me there's not enough ram  I might try your US forwarding with newegg.","2025-04-17T14:45:48.059818Z"
140,"1","2025-04-17T14:46:00.036551Z",124,11.727,"Neutral","I don't like them one bit either, but I was surprised that he made it as good as he did here. I've seen how well they do in snow though, and they don't","2025-04-17T14:46:00.036551Z"
141,"1","2025-04-17T14:46:02.284185Z",125,2.07,"Positive"," @tubulartopher  Cool. Find private investors. Don't use my tax dollars for it.","2025-04-17T14:46:02.285205Z"
142,"1","2025-04-17T14:46:08.074384Z",126,5.612,"Negative","im miss to be a student... wanna meet my friends ","2025-04-17T14:46:08.074384Z"
143,"1","2025-04-17T14:46:09.648928Z",127,1.391,"Neutral","Ouvi pela primeira vez ontem to encantada!!!!","2025-04-17T14:46:09.648928Z"
144,"1","2025-04-17T14:46:11.865206Z",128,2.049,"Neutral","4:28 Hey that's Steve Aoki!","2025-04-17T14:46:11.865206Z"
145,"1","2025-04-17T14:46:15.159928Z",129,3.116,"Neutral","listening to angels and airwaves, dont know what to do right now ","2025-04-17T14:46:15.159928Z"
146,"1","2025-04-17T14:46:16.519114Z",130,1.176,"Neutral","Late night homework once again. ","2025-04-17T14:46:16.519114Z"
147,"1","2025-04-17T14:46:20.435915Z",131,3.734,"Positive","thanks dog","2025-04-17T14:46:20.435915Z"
148,"1","2025-04-17T14:46:31.687742Z",132,11.075,"Neutral","@Posh_Totty Lol I don't blame you, it all goes horribly wrong after the wedding, at least you got the ring, thats all you need really  lol","2025-04-17T14:46:31.687742Z"
149,"1","2025-04-17T14:46:39.813870Z",133,7.955,"Neutral","@Squirrel_Monkey we still have 8 mos on our contract for the current iphones, can't upgrade yet.  ","2025-04-17T14:46:39.813870Z"
150,"1","2025-04-17T14:46:45.120743Z",134,5.132,"Negative","I miss the two david. archuleta and cook! HUHU  i miss them soooo baaad!","2025-04-17T14:46:45.120743Z"
151,"1","2025-04-17T14:46:48.773276Z",135,3.465,"Negative","@mikig2 It becomes tremendously borrrrring after a while cuz u gotta cook ur own food! Aarrrgh!  (ab theek hai naa! ) =]","2025-04-17T14:46:48.773276Z"
152,"1","2025-04-17T14:46:50.535358Z",136,1.591,"Neutral","you got it done tho","2025-04-17T14:46:50.535358Z"
153,"1","2025-04-17T14:46:58.912605Z",137,8.174,"Neutral","hey saw this video got a 2004 3g eclipse ended up having flooded engine i dont wanna get rid of it its my dream car so what do i do","2025-04-17T14:46:58.912605Z"
154,"1","2025-04-17T14:47:02.167508Z",138,3.075,"Neutral","@Hurrigirl hahaha yeah I'm sure they didn't mean it........ but they so did it~!!!! ","2025-04-17T14:47:02.167508Z"
155,"1","2025-04-17T14:47:03.449287Z",139,1.102,"Neutral","@RoboSteel And you! ","2025-04-17T14:47:03.449287Z"
156,"1","2025-04-17T14:47:05.083046Z",140,1.378,"Neutral","nope...","2025-04-17T14:47:05.083046Z"
157,"1","2025-04-17T14:47:10.883737Z",141,5.62,"Positive","Waking up at 6:30 on a Sunday means crazy amounts of free time, apparently. Never realised there were so many hours in the day! ","2025-04-17T14:47:10.883737Z"
158,"1","2025-04-17T14:47:16.814802Z",142,5.75,"Negative","failed my mock driving test and i'll be failin these as's too if i don't start revisionn  its soo sunny :O&lt;3","2025-04-17T14:47:16.814802Z"
159,"1","2025-04-17T14:47:18.393312Z",143,1.389,"Positive","Cat funny","2025-04-17T14:47:18.393312Z"
160,"1","2025-04-17T14:47:21.732111Z",144,3.163,"Neutral","@johncmayer NYC misses you too! we will be waiting ","2025-04-17T14:47:21.732111Z"
161,"1","2025-04-17T14:47:27.822209Z",145,5.896,"Neutral","Ev'rybody's got a hungry heart... ","2025-04-17T14:47:27.822209Z"
162,"1","2025-04-17T14:47:32.060089Z",146,4.051,"Positive","“The only time you should use a makeup wipe is never” LMAOOOO","2025-04-17T14:47:32.060089Z"
163,"1","2025-04-17T14:47:39.827088Z",147,7.576,"Neutral","back in the garage working, garbage day tomorrow, woohoo, take it all away ","2025-04-17T14:47:39.827088Z"
164,"1","2025-04-17T14:47:45.474480Z",148,5.449,"Neutral","@samuraigrifter i returned the DSi and got 2 DS consoles  please hook me up with games ","2025-04-17T14:47:45.474480Z"
165,"1","2025-04-17T14:47:47.928935Z",149,2.257,"Neutral","Them:add some small details! 
adds so much","2025-04-17T14:47:47.928935Z"
166,"1","2025-04-17T14:47:50.178199Z",150,2.074,"Neutral","@TherealErPerry aww im sorry  you should try to go theres still tickets left ","2025-04-17T14:47:50.178199Z"
167,"1","2025-04-17T14:47:52.602814Z",151,2.241,"Negative","@miguelstdancer ok, I must get used to it! but it's really hard!  xX","2025-04-17T14:47:52.602814Z"
168,"1","2025-04-17T14:47:55.049000Z",152,12.843,"Positive","Great video. I would recommend that you have two different credit cards for the same bank account. If one day you lose your primary one or discover that there MAY be misuse, it is not inconvenient for you to block one.  Therefore you can react much faster","2025-04-17T14:48:10.645107Z"
169,"1","2025-04-17T14:48:16.833616Z",153,5.222,"Negative","&quot;Can youu tell me how a perfect love goes wrong..&quot; ","2025-04-17T14:48:16.833616Z"
170,"1","2025-04-17T14:48:23.254268Z",154,6.19,"Negative","I've bitten the inside of my lip! It's starting to swell... ","2025-04-17T14:48:23.254268Z"
171,"1","2025-04-17T14:48:24.628240Z",155,1.168,"Neutral","😳😳😳😳","2025-04-17T14:48:24.628240Z"
172,"1","2025-04-17T14:48:43.906938Z",156,19.096,"Negative","A poignant speech. 😥","2025-04-17T14:48:43.906938Z"
173,"1","2025-04-17T14:49:03.369754Z",157,19.243,"Neutral","@Xandromas cantr is down ","2025-04-17T14:49:03.369754Z"
174,"1","2025-04-17T14:49:10.020839Z",158,6.446,"Positive","@jomanlk I am trying my best to make my own luck ","2025-04-17T14:49:10.020839Z"
175,"1","2025-04-17T14:49:13.355060Z",159,3.13,"Neutral","@MacFacetime09 I'm always awake all night so u can always talk to me when u can't sleep ","2025-04-17T14:49:13.355060Z"
176,"1","2025-04-17T14:49:15.164814Z",160,1.632,"Neutral","@Kris_Rogers i hope you picked the snakeskin ones ","2025-04-17T14:49:15.164814Z"
177,"1","2025-04-17T14:49:17.353933Z",161,2.004,"Neutral","I think i want to go to the beach today, but its kind of cold. ","2025-04-17T14:49:17.353933Z"
178,"1","2025-04-17T14:49:21.455951Z",162,3.929,"Neutral","A lot of them do not have a worldview holistic enough to enable them to see its importance","2025-04-17T14:49:21.455951Z"
179,"1","2025-04-17T14:49:23.666997Z",163,2.03,"Neutral","Good night 😴","2025-04-17T14:49:23.666997Z"
180,"1","2025-04-17T14:49:25.320960Z",164,1.419,"Neutral","Keep an open mind","2025-04-17T14:49:25.320960Z"
181,"1","2025-04-17T14:49:27.690114Z",165,2.179,"Neutral","I think Hozier and Foy Vance should get together and write some songs, do an album together.","2025-04-17T14:49:27.690114Z"
182,"1","2025-04-17T14:49:30.443026Z",166,2.563,"Neutral","Just made a project for shortlisting in a company and realised I have never spent my whole day just doing EDA on this dataset of just since numbers with no other knowledge of features , after doing it I realised understanding data is the main stuff","2025-04-17T14:49:30.443026Z"
